location_id,sensor_id,location_name,datetime_utc,datetime_local,parameter,parameter_display,units,value,coordinates_latitude,coordinates_longitude,country_code,country_name,is_mobile,is_monitor,date,hour_utc,day_of_week,month,has_coordinates
235,12235608,"Anand Vihar, New Delhi - DPCC",2026-03-13 01:30:00+00:00,2026-03-13 07:00:00+05:30,unknown,unknown,unknown,6.4,28.646835,77.316032,unknown,unknown,,,2026-03-13,1,Friday,2026-03,True
235,12235609,"Anand Vihar, New Delhi - DPCC",2026-03-13 01:30:00+00:00,2026-03-13 07:00:00+05:30,unknown,unknown,unknown,300.0,28.646835,77.316032,unknown,unknown,,,2026-03-13,1,Friday,2026-03,True
235,12235610,"Anand Vihar, New Delhi - DPCC",2026-03-13 01:30:00+00:00,2026-03-13 07:00:00+05:30,unknown,unknown,unknown,97.0,28.646835,77.316032,unknown,unknown,,,2026-03-13,1,Friday,2026-03,True
235,12235611,"Anand Vihar, New Delhi - DPCC",2026-03-13 01:30:00+00:00,2026-03-13 07:00:00+05:30,unknown,unknown,unknown,67.0,28.646835,77.316032,unknown,unknown,,,2026-03-13,1,Friday,2026-03,True
235,12235612,"Anand Vihar, New Delhi - DPCC",2026-03-13 01:30:00+00:00,2026-03-13 07:00:00+05:30,unknown,unknown,unknown,25.5,28.646835,77.316032,unknown,unknown,,,2026-03-13,1,Friday,2026-03,True
235,12235613,"Anand Vihar, New Delhi - DPCC",2026-03-13 01:30:00+00:00,2026-03-13 07:00:00+05:30,unknown,unknown,unknown,24.0,28.646835,77.316032,unknown,unknown,,,2026-03-13,1,Friday,2026-03,True
235,14340864,"Anand Vihar, New Delhi - DPCC",2026-03-13 01:30:00+00:00,2026-03-13 07:00:00+05:30,unknown,unknown,unknown,0.0266999999999999,28.646835,77.316032,unknown,unknown,,,2026-03-13,1,Friday,2026-03,True
235,14340865,"Anand Vihar, New Delhi - DPCC",2026-03-13 01:30:00+00:00,2026-03-13 07:00:00+05:30,unknown,unknown,unknown,130.0,28.646835,77.316032,unknown,unknown,,,2026-03-13,1,Friday,2026-03,True
235,14340866,"Anand Vihar, New Delhi - DPCC",2026-03-13 01:30:00+00:00,2026-03-13 07:00:00+05:30,unknown,unknown,unknown,0.3,28.646835,77.316032,unknown,unknown,,,2026-03-13,1,Friday,2026-03,True
236,387,"Mandir Marg, Delhi - DPCC",2018-02-21 21:15:00+00:00,2018-02-22 02:45:00+05:30,unknown,unknown,unknown,14.47,28.6341,77.2005,unknown,unknown,,,2018-02-21,21,Wednesday,2018-02,True
236,388,"Mandir Marg, Delhi - DPCC",2018-02-21 21:15:00+00:00,2018-02-22 02:45:00+05:30,unknown,unknown,unknown,149.0,28.6341,77.2005,unknown,unknown,,,2018-02-21,21,Wednesday,2018-02,True
236,389,"Mandir Marg, Delhi - DPCC",2018-02-21 20:45:00+00:00,2018-02-22 02:15:00+05:30,unknown,unknown,unknown,63.1,28.6341,77.2005,unknown,unknown,,,2018-02-21,20,Wednesday,2018-02,True
