location_id,sensor_id,location_name,datetime_utc,datetime_local,parameter,parameter_display,units,value,coordinates_latitude,coordinates_longitude,country_code,country_name,is_mobile,is_monitor
378,661,Alandur Bus Depot,2017-10-11T08:45:00Z,2017-10-11T14:15:00+05:30,,,,5300.0,12.99711389,80.19151667,,,,
378,14305,Alandur Bus Depot,2018-02-22T03:45:00Z,2018-02-22T09:15:00+05:30,,,,29.3,12.99711389,80.19151667,,,,
378,14304,Alandur Bus Depot,2018-02-22T03:45:00Z,2018-02-22T09:15:00+05:30,,,,111.73,12.99711389,80.19151667,,,,
378,5352,Alandur Bus Depot,2018-02-22T03:45:00Z,2018-02-22T09:15:00+05:30,,,,6.82,12.99711389,80.19151667,,,,
407,712,"Zoo Park, Hyderabad - TSPCB",2022-10-31T02:00:00Z,2022-10-31T07:30:00+05:30,,,,18.7,17.349694,78.451437,,,,
407,711,"Zoo Park, Hyderabad - TSPCB",2022-10-31T02:00:00Z,2022-10-31T07:30:00+05:30,,,,14.1,17.349694,78.451437,,,,
407,710,"Zoo Park, Hyderabad - TSPCB",2022-10-31T02:00:00Z,2022-10-31T07:30:00+05:30,,,,920.0,17.349694,78.451437,,,,
407,715,"Zoo Park, Hyderabad - TSPCB",2022-10-31T02:00:00Z,2022-10-31T07:30:00+05:30,,,,126.0,17.349694,78.451437,,,,
407,714,"Zoo Park, Hyderabad - TSPCB",2022-10-31T02:00:00Z,2022-10-31T07:30:00+05:30,,,,83.0,17.349694,78.451437,,,,
407,713,"Zoo Park, Hyderabad - TSPCB",2022-10-31T02:00:00Z,2022-10-31T07:30:00+05:30,,,,0.0,17.349694,78.451437,,,,
407,12235585,"Zoo Park, Hyderabad - TSPCB",2026-03-13T04:15:00Z,2026-03-13T09:45:00+05:30,,,,1.8,17.349694,78.451437,,,,
407,12235581,"Zoo Park, Hyderabad - TSPCB",2026-03-13T04:15:00Z,2026-03-13T09:45:00+05:30,,,,26.9,17.349694,78.451437,,,,
407,12235579,"Zoo Park, Hyderabad - TSPCB",2026-03-13T04:15:00Z,2026-03-13T09:45:00+05:30,,,,1.6,17.349694,78.451437,,,,
407,12235584,"Zoo Park, Hyderabad - TSPCB",2026-03-13T04:15:00Z,2026-03-13T09:45:00+05:30,,,,44.0,17.349694,78.451437,,,,
407,12235578,"Zoo Park, Hyderabad - TSPCB",2026-03-13T04:15:00Z,2026-03-13T09:45:00+05:30,,,,0.54,17.349694,78.451437,,,,
407,12235580,"Zoo Park, Hyderabad - TSPCB",2026-03-13T04:15:00Z,2026-03-13T09:45:00+05:30,,,,7.0,17.349694,78.451437,,,,
407,12235586,"Zoo Park, Hyderabad - TSPCB",2026-03-13T04:15:00Z,2026-03-13T09:45:00+05:30,,,,19.6,17.349694,78.451437,,,,
407,12235583,"Zoo Park, Hyderabad - TSPCB",2026-03-13T04:15:00Z,2026-03-13T09:45:00+05:30,,,,53.0,17.349694,78.451437,,,,
407,12235582,"Zoo Park, Hyderabad - TSPCB",2026-03-13T04:15:00Z,2026-03-13T09:45:00+05:30,,,,123.0,17.349694,78.451437,,,,
407,14340862,"Zoo Park, Hyderabad - TSPCB",2026-03-13T04:15:00Z,2026-03-13T09:45:00+05:30,,,,307.0,17.349694,78.451437,,,,
407,14340861,"Zoo Park, Hyderabad - TSPCB",2026-03-13T04:15:00Z,2026-03-13T09:45:00+05:30,,,,0.0050999999999999995,17.349694,78.451437,,,,
407,14340863,"Zoo Park, Hyderabad - TSPCB",2026-03-13T04:15:00Z,2026-03-13T09:45:00+05:30,,,,0.8,17.349694,78.451437,,,,
412,1518,"Peenya, Bengaluru - KSPCB",2018-02-22T02:45:00Z,2018-02-22T08:15:00+05:30,,,,25.02,13.0339,77.51321111,,,,
412,13853,"Peenya, Bengaluru - KSPCB",2018-02-22T02:45:00Z,2018-02-22T08:15:00+05:30,,,,3.83,13.0339,77.51321111,,,,
412,13852,"Peenya, Bengaluru - KSPCB",2018-02-22T02:45:00Z,2018-02-22T08:15:00+05:30,,,,43.79,13.0339,77.51321111,,,,
412,722,"Peenya, Bengaluru - KSPCB",2018-02-22T02:45:00Z,2018-02-22T08:15:00+05:30,,,,970.0,13.0339,77.51321111,,,,
